#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
contig_10_pilon	1	4655349	7922712	2144656	46.0686	254.66	36	55
contig_100_pilon	1	27076	2	170	0.627862	0.0110799	36.9	60
contig_106_pilon	1	927140	1112139	363936	39.2536	179.501	36	55.7
contig_11_pilon	1	918937	2131848	423759	46.114	347.168	35.9	57.4
contig_111_pilon	1	8978	1940	6117	68.1332	32.2425	36.1	12.5
contig_115_pilon	1	374750	266938	76403	20.3877	106.567	36	58.4
contig_117_pilon	1	367509	193210	104699	28.4888	78.672	36	59.5
contig_118_pilon	1	94879	50789	10750	11.3302	80.1176	36	42.3
contig_13_pilon	1	21656	206274	19476	89.9335	1419.19	36.1	60
contig_14_pilon	1	18224	7064	17367	95.2974	57.6645	35.3	60
contig_15_pilon	1	13533	64	1811	13.3821	0.704943	36.1	60
contig_17_pilon	1	2978181	3383453	1392912	46.7706	169.971	36	56.2
contig_2_pilon	1	47887	40	858	1.79172	0.122747	36.3	58.5
contig_20_pilon	1	38279	9	1111	2.90237	0.0351368	35.9	60
contig_24_pilon	1	25682	36	927	3.60953	0.208784	35.8	50.1
contig_25_pilon	1	1915965	2144290	660708	34.4843	167.453	36	56.8
contig_26_pilon	1	18241	2	150	0.822323	0.0164465	36.6	1
contig_30_pilon	1	1264898	2068177	596577	47.164	244.657	36	58.3
contig_33_pilon	1	3047	1583	2802	91.9593	77.7007	36.1	50.1
contig_62_pilon	1	64818	92	2963	4.57126	0.209001	35.8	50.3
contig_63_pilon	1	76557	193	2810	3.67047	0.377144	36	33
contig_64_pilon	1	354270	271584	133051	37.5564	114.655	35.9	59.5
contig_69_pilon	1	2063735	3752242	1010315	48.9557	272.088	36	54.5
contig_70_pilon	1	81101	63	1285	1.58444	0.115387	35.8	48.6
contig_71_pilon	1	122852	71593	30256	24.628	87.2096	36	35.9
contig_73_pilon	1	17497	16	277	1.58313	0.135795	36.1	37.6
contig_76_pilon	1	35200	40	656	1.86364	0.169801	36.2	54.1
contig_77_pilon	1	104949	14377	90270	86.0132	20.3981	35.9	59.7
contig_79_pilon	1	37325	22	1298	3.47756	0.0866443	36.2	30.2
contig_97_pilon	1	23421	26	1160	4.95282	0.166475	36.2	60
contig_103_pilon	1	25957	0	0	0	0	0	0
contig_110_pilon	1	18139	0	0	0	0	0	0
contig_116_pilon	1	54465	0	0	0	0	0	0
contig_3_pilon	1	13092	0	0	0	0	0	0
contig_32_pilon	1	8892	0	0	0	0	0	0
contig_36_pilon	1	20235	0	0	0	0	0	0
contig_38_pilon	1	17701	0	0	0	0	0	0
contig_43_pilon	1	10036	0	0	0	0	0	0
contig_48_pilon	1	3703	0	0	0	0	0	0
contig_49_pilon	1	3140	0	0	0	0	0	0
contig_53_pilon	1	2393	0	0	0	0	0	0
contig_54_pilon	1	30303	0	0	0	0	0	0
contig_55_pilon	1	22156	0	0	0	0	0	0
contig_56_pilon	1	17512	0	0	0	0	0	0
contig_58_pilon	1	19271	0	0	0	0	0	0
contig_6_pilon	1	642	0	0	0	0	0	0
contig_82_pilon	1	2530	0	0	0	0	0	0
contig_91_pilon	1	9707	0	0	0	0	0	0


# This was generated by manually using the information obtained from "code/06_rna_mapping/03_extract_stats.sh"
